"Début des rapports","Fin des rapports","Nom de la publicité","Nom de l’ensemble de publicités",Commence,Fin,"Diffusion des publicités","Paramètre d’attribution",Couverture,Résultats,"Indicateur de résultats","Coût par résultat",Répétition,"Budget des ensembles de publicités","Type de budget de l’ensemble de publicités","Montant dépensé (EUR)","Qualité (classement)","Taux d’interaction (classement)","Taux de conversion (classement)",Impressions,"CPM (Coût pour 1 000 impressions) (EUR)","Clics sur un lien",shop_clicks,"CPC (coût par clic sur un lien) (EUR)","CTR (taux de clics sur le lien)","Inscriptions terminées","Inscriptions terminées sur le site Web","Coût par inscription terminée (EUR)"
2025-06-28,2025-06-30,"Ads 1 STATIQUE","Shopify Owners - USA",2025-06-28,ต่อเนื่อง,inactive,"clic à 7 jours et vue à 1 jour",613,2,actions:landing_page_view,1.49,1.040783,15,Quotidien,2.98,-,-,-,638,4.670846,3,,0.993333,0.470219,,,
2025-06-28,2025-06-30,"Ads 2 STATIQUE","Shopify Owners - USA",2025-06-28,ต่อเนื่อง,not_delivering,"clic à 7 jours et vue à 1 jour",1037,6,actions:landing_page_view,0.96666667,1.009643,15,Quotidien,5.8,-,-,-,1047,5.539637,14,,0.414286,1.337154,,,
2025-06-28,2025-06-30,"Ads 3 STATIQUE","Shopify Owners - USA",2025-06-28,ต่อเนื่อง,not_delivering,"clic à 7 jours et vue à 1 jour",2440,19,actions:landing_page_view,0.90894737,1.036475,15,Quotidien,17.27,-,-,-,2529,6.828786,31,,0.557097,1.225781,3,3,5.756667
2025-06-28,2025-06-30,"Ads 1 Statique","Liquidfy Early Access - Register conversion",2025-06-28,ต่อเนื่อง,not_delivering,-,0,,,,0,15.5,Quotidien,0,-,-,-,0,0,,,,,,,
2025-06-28,2025-06-30,"Ads 2 Statique","Liquidfy Early Access - Register conversion",2025-06-28,ต่อเนื่อง,not_delivering,"clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",140,1,actions:offsite_conversion.fb_pixel_complete_registration,5.75,1.028571,15.5,Quotidien,5.75,-,-,-,144,39.930556,3,,1.916667,2.083333,1,1,5.75
2025-06-28,2025-06-30,"Ads 3 Statique","Liquidfy Early Access - Register conversion",2025-06-28,ต่อเนื่อง,not_delivering,"clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",10,,,,1,15.5,Quotidien,0.44,-,-,-,10,44,,,,,,,
2025-06-28,2025-06-30,"Ads 1 Statique","Liquidfy Early Access - Register conversion 21M-25M",2025-06-29,ต่อเนื่อง,not_delivering,-,0,,,,0,15.5,Quotidien,0,-,-,-,0,0,,,,,,,
2025-06-28,2025-06-30,"Ads 2 Statique","Liquidfy Early Access - Register conversion 21M-25M",2025-06-29,ต่อเนื่อง,not_delivering,-,0,,,,0,15.5,Quotidien,0,-,-,-,0,0,,,,,,,
2025-06-28,2025-06-30,"Ads 3 Statique","Liquidfy Early Access - Register conversion 21M-25M",2025-06-29,ต่อเนื่อง,not_delivering,-,0,,,,0,15.5,Quotidien,0,-,-,-,0,0,,,,,,,
2025-06-28,2025-06-30,"Ads 3 Statique","Liquidfy Early Access - Register conversion STACKING",2025-06-29,ต่อเนื่อง,not_delivering,-,0,,,,0,15.5,Quotidien,0,-,-,-,0,0,,,,,,,
